iter	Passed	Remaining
0	55	55911
1	56	28046
2	56	18751
3	56	14119
4	56	11324
5	57	9465
6	57	8137
7	57	7140
8	57	6363
9	57	5741
10	58	5233
11	58	4811
12	58	4455
13	58	4150
14	59	3885
15	59	3653
16	59	3447
17	59	3264
18	60	3101
19	60	2965
20	60	2833
21	61	2715
22	61	2605
23	61	2504
24	61	2409
25	62	2323
26	62	2242
27	62	2167
28	62	2098
29	62	2032
30	63	1971
31	63	1914
32	63	1861
33	63	1810
34	63	1762
35	64	1718
36	64	1676
37	64	1635
38	64	1597
39	64	1559
40	65	1525
41	65	1492
42	65	1459
43	65	1429
44	66	1400
45	66	1373
46	66	1346
47	66	1320
48	66	1296
49	67	1274
50	67	1251
51	67	1229
52	67	1209
53	67	1189
54	68	1170
55	68	1151
56	68	1133
57	68	1115
58	68	1098
59	69	1082
60	69	1066
61	69	1051
62	69	1036
63	69	1022
64	70	1008
65	70	994
66	70	981
67	70	968
68	70	956
69	71	944
70	71	933
71	71	921
72	71	910
73	71	900
74	72	891
75	72	881
76	72	872
77	73	864
78	73	855
79	73	845
80	73	836
81	73	827
82	74	817
83	74	809
84	74	800
85	74	792
86	74	784
87	74	777
88	75	769
89	75	762
90	75	754
91	75	747
92	75	740
93	76	733
94	76	727
95	76	720
96	76	714
97	76	707
98	77	701
99	77	695
100	77	689
101	77	684
102	77	678
103	78	672
104	78	666
105	78	661
106	78	656
107	78	650
108	78	645
109	79	640
110	79	635
111	79	630
112	79	626
113	79	621
114	80	616
115	80	612
116	80	607
117	80	602
118	80	598
119	81	594
120	81	590
121	81	585
122	81	581
123	81	577
124	81	573
125	82	570
126	82	565
127	82	562
128	82	558
129	82	554
130	83	551
131	83	547
132	83	543
133	83	540
134	83	536
135	83	533
136	84	530
137	84	527
138	84	523
139	84	520
140	84	517
141	85	513
142	85	510
143	85	507
144	85	504
145	85	502
146	86	499
147	86	496
148	86	493
149	86	490
150	86	487
151	86	485
152	87	482
153	87	479
154	87	477
155	87	474
156	88	472
157	88	470
158	88	468
159	88	465
160	88	462
161	88	460
162	89	457
163	90	459
164	90	457
165	90	454
166	90	452
167	90	450
168	91	448
169	91	445
170	91	443
171	91	441
172	91	439
173	92	437
174	92	435
175	92	433
176	92	431
177	92	429
178	93	427
179	93	425
180	93	423
181	93	421
182	93	419
183	94	417
184	94	415
185	94	413
186	94	411
187	94	409
188	95	407
189	95	406
190	95	404
191	95	402
192	95	400
193	96	399
194	96	397
195	96	395
196	96	394
197	96	392
198	97	390
199	97	388
200	97	387
201	97	385
202	97	384
203	98	382
204	98	381
205	98	379
206	98	378
207	98	376
208	99	375
209	99	373
210	99	372
211	99	370
212	99	369
213	100	367
214	100	366
215	100	364
216	100	363
217	100	361
218	101	360
219	101	359
220	101	357
221	101	356
222	101	354
223	102	353
224	102	352
225	102	350
226	102	349
227	102	348
228	103	347
229	103	345
230	103	344
231	103	343
232	103	341
233	104	340
234	104	339
235	104	338
236	104	337
237	104	335
238	105	334
239	105	333
240	105	332
241	105	331
242	105	329
243	106	328
244	106	327
245	106	326
246	106	325
247	106	323
248	106	322
